,数量,是否出现在单词爬取网站
the,14370,True
a,8188,True
of,5516,True
to,3586,True
in,2940,True
he,2836,True
was,2184,False
his,2140,True
is,1914,False
The,1722,False
for,1596,True
on,1330,True
and,1288,True
an,1144,False
I,1034,True
with,998,True
her,956,True
they,918,True
it,904,True
that,790,True
she,728,True
had,680,False
you,666,True
She,654,False
at,654,True
are,594,False
were,576,False
from,560,True
He,524,False
this,522,True
my,502,True
as,496,True
by,468,True
all,458,True
your,432,True
be,428,True
him,420,True
good,416,True
into,402,True
not,402,True
we,398,True
has,394,False
have,380,True
their,380,True
This,368,False
new,366,True
out,324,True
there,324,True
We,322,False
will,318,True
up,302,True
work,288,True
two,274,True
me,272,True
no,262,True
when,262,True
one,250,True
time,244,True
many,220,True
every,216,True
car,212,True
our,206,True
after,206,True
can,204,True
made,204,False
day,202,True
very,198,True
could,196,True
man,194,True
life,194,True
about,190,True
children,186,False
old,184,True
water,184,True
light,180,True
gave,178,False
long,178,True
people,178,True
but,176,True
or,176,True
make,176,True
over,174,True
get,174,True
took,174,False
must,174,True
than,174,True
well,172,True
only,168,True
do,168,True
before,166,True
right,164,True
down,164,True
more,162,True
what,160,True
last,158,True
set,154,True
play,154,True
first,152,True
house,150,True
room,150,True
like,150,True
job,148,True
some,146,True
through,146,True
still,144,True
see,144,True
other,142,True
several,140,True
did,140,False
left,140,True
cut,138,True
child,138,True
off,138,True
so,136,True
got,136,False
They,136,False
bad,134,True
night,134,True
back,132,True
much,132,True
book,126,True
its,126,True
great,122,True
put,122,True
these,122,True
around,122,True
three,122,True
too,120,True
years,120,False
would,120,True
always,118,True
just,118,True
little,116,True
take,116,True
hard,116,True
money,116,True
year,116,True
line,114,True
go,114,True
been,112,False
deep,112,True
hot,112,True
clear,112,True
heavy,110,True
used,110,True
party,110,True
open,108,True
small,108,True
high,106,True
home,104,True
family,104,True
played,104,False
between,104,True
went,104,False
business,104,True
any,102,True
head,102,True
call,102,True
ball,100,True
now,100,True
give,100,True
never,100,True
large,98,True
dress,98,True
cannot,98,False
us,98,True
who,96,True
close,96,True
them,96,True
big,96,True
fire,96,True
way,96,True
air,94,True
run,94,True
should,92,True
keep,92,True
face,92,True
school,90,True
turn,90,True
government,90,True
problem,88,True
tried,88,False
Can,86,False
cold,86,True
students,86,False
law,86,True
young,86,True
war,86,True
short,86,True
door,86,True
lost,84,True
dead,84,True
news,84,True
world,84,True
against,84,True
most,84,True
here,84,True
need,84,True
My,84,False
hit,84,True
point,82,True
lot,82,True
during,82,True
fine,82,True
men,82,False
name,80,True
real,80,True
whole,80,True
dry,80,True
company,80,True
how,80,True
game,80,True
break,80,True
better,78,True
help,78,True
These,78,False
place,78,True
town,78,True
each,78,True
under,78,True
felt,76,False
hand,76,True
does,76,False
mind,76,True
true,76,True
same,76,True
His,76,False
voice,76,True
black,76,True
away,76,True
came,76,False
market,76,True
police,74,True
change,74,True
food,74,True
side,74,True
second,74,True
person,74,True
stock,74,True
country,74,True
own,74,True
clean,74,True
sound,72,True
end,72,True
want,72,True
history,72,True
trees,72,False
public,70,True
another,70,True
come,70,True
best,70,True
friends,70,False
system,70,True
idea,70,True
Her,70,False
case,70,True
turned,70,False
land,70,True
called,70,False
free,70,True
special,68,True
hair,68,True
worked,68,False
live,68,True
You,68,False
office,68,True
heart,68,True
wrong,68,True
body,68,True
found,68,True
wanted,68,False
record,66,True
beat,66,True
horse,66,True
table,66,True
broken,66,True
question,66,True
number,66,True
early,66,True
know,66,True
success,66,True
days,66,False
paper,66,True
team,66,True
hold,66,True
nice,64,True
street,64,True
music,64,True
hours,64,False
A,64,False
full,64,True
use,64,True
different,62,True
city,62,True
late,62,True
thought,62,True
thing,62,True
road,62,True
secret,62,True
without,62,True
certain,62,True
age,62,True
situation,62,True
mother,62,True
speech,62,True
living,60,True
word,60,True
rich,60,True
rain,60,True
movie,60,True
pay,60,True
sense,60,True
bank,60,True
read,60,True
which,60,True
even,60,True
running,60,True
said,60,False
program,60,True
badly,60,True
carry,58,True
order,58,True
dirty,58,True
dog,58,True
if,58,True
enough,58,True
weather,58,True
next,58,True
natural,58,True
base,58,True
major,58,True
teacher,58,True
baby,58,True
human,58,True
state,58,True
general,58,True
books,56,False
eyes,56,False
train,56,True
dark,56,True
How,56,False
few,56,True
action,56,True
attack,56,True
less,56,True
story,56,True
moved,56,False
works,56,True
often,56,True
support,56,True
wall,56,True
computer,54,True
New,54,False
showed,54,False
building,54,True
deal,54,True
bed,54,True
blue,54,True
art,54,True
common,54,True
care,54,True
himself,54,True
morning,54,True
love,54,True
fast,54,True
far,54,True
painting,54,True
fall,52,True
held,52,False
plan,52,True
four,52,True
student,52,True
account,52,True
local,52,True
touch,52,True
movement,52,True
film,52,True
sure,52,True
near,52,True
class,52,True
ship,52,True
look,52,True
stage,52,True
answer,52,True
white,52,True
meeting,52,True
letter,50,True
active,50,True
such,50,True
month,50,True
saw,50,False
finish,50,True
position,50,True
space,50,True
heard,50,False
corner,50,True
spread,50,True
raise,50,True
blood,50,True
finally,50,True
until,50,True
asked,50,False
working,50,True
fit,50,True
material,50,True
easy,50,True
political,50,True
covered,50,False
hour,50,True
important,50,True
across,50,True
plane,50,True
tree,50,True
surface,50,True
show,48,True
president,48,True
really,48,True
serious,48,True
looked,48,False
thick,48,True
evidence,48,True
top,48,True
view,48,True
times,48,False
shot,48,True
box,48,True
catch,48,True
fresh,48,True
drive,48,True
gold,48,True
gun,48,True
pull,48,True
words,48,False
past,48,True
drink,48,True
week,48,True
wife,48,True
stop,48,True
death,48,True
soft,48,True
quite,48,True
warm,48,True
part,46,True
lead,46,True
those,46,True
woman,46,True
dinner,46,True
lived,46,False
wind,46,True
floor,46,True
reading,46,True
church,46,True
developed,46,False
served,46,False
summer,46,True
behavior,46,True
because,46,True
control,46,True
course,46,True
leave,46,True
solid,46,True
modern,46,True
check,46,True
strike,46,True
going,46,False
court,46,True
direct,46,True
regular,46,True
tight,46,True
received,46,False
fish,46,True
window,46,True
while,44,True
river,44,True
figure,44,True
ready,44,True
performance,44,True
step,44,True
drop,44,True
hands,44,False
outside,44,True
draw,44,True
walk,44,True
fair,44,True
start,44,True
evening,44,True
attention,44,True
trouble,44,True
together,44,True
kept,44,False
may,44,True
am,44,False
ten,44,True
language,44,True
prices,44,False
form,44,True
argument,44,True
development,42,True
cars,42,False
property,42,True
economic,42,True
army,42,True
wild,42,True
piece,42,True
settled,42,False
feel,42,True
theory,42,True
poor,42,True
patient,42,True
national,42,True
project,42,True
stood,42,False
experience,42,True
power,42,True
rough,42,True
club,42,True
sun,42,True
changed,42,False
election,42,True
takes,42,False
playing,42,False
won,42,False
single,42,True
cover,42,True
exercise,42,True
wide,42,True
enemy,42,True
cool,42,True
scene,42,True
events,40,False
disease,40,True
low,40,True
current,40,True
firm,40,True
behind,40,True
What,40,False
nothing,40,True
built,40,False
issue,40,True
bill,40,True
heat,40,True
audience,40,True
feet,40,False
began,40,False
today,40,True
store,40,True
looking,40,False
advanced,40,True
led,40,False
operation,40,True
straight,40,True
crowd,40,True
minor,40,True
health,40,True
personal,40,True
flat,40,True
provided,40,False
bright,40,True
social,40,True
medical,40,True
things,40,False
original,40,True
find,40,True
block,40,True
price,40,True
foot,40,True
loose,40,True
closed,40,False
gets,40,False
say,40,True
subject,40,True
points,40,False
started,40,False
needs,38,False
image,38,True
future,38,True
half,38,True
American,38,True
wine,38,True
double,38,True
known,38,False
standard,38,True
cause,38,True
per,38,True
entire,38,True
third,38,True
information,38,True
think,38,True
study,38,True
among,38,True
ground,38,True
husband,38,True
meat,38,True
again,38,True
marriage,38,True
report,38,True
parents,38,False
present,38,True
economy,38,True
smooth,38,True
truth,38,True
quickly,38,True
level,38,True
charge,38,True
population,38,True
finished,38,False
everyone,38,True
decision,38,True
longer,38,False
laws,38,False
center,38,True
beautiful,38,True
pass,38,True
miles,38,False
mark,38,True
French,38,True
spoke,38,False
bit,36,True
technical,36,True
machine,36,True
matter,36,True
field,36,True
raw,36,True
production,36,True
let,36,True
responsible,36,True
list,36,True
suit,36,True
violent,36,True
comfortable,36,True
being,36,True
due,36,True
complete,36,True
novel,36,True
range,36,True
period,36,True
interest,36,True
colors,36,False
hear,36,True
visit,36,True
failed,36,False
friend,36,True
chair,36,True
front,36,True
fight,36,True
ahead,36,True
ran,36,False
rock,36,True
It,36,False
song,36,True
problems,36,False
almost,36,True
secretary,36,True
thin,36,True
stand,36,True
women,36,False
nuclear,34,True
rolled,34,False
boat,34,True
snow,34,True
bought,34,False
followed,34,False
direction,34,True
feeling,34,True
area,34,True
healthy,34,True
stay,34,True
rather,34,True
opposite,34,True
doctor,34,True
test,34,True
group,34,True
died,34,False
kind,34,True
ever,34,True
quick,34,True
forward,34,True
told,34,False
alone,34,True
bread,34,True
enjoyed,34,False
paint,34,True
walked,34,False
oil,34,True
broad,34,True
process,34,True
onto,34,True
main,34,True
critical,34,True
motion,34,True
terrible,34,True
character,34,True
stretch,34,True
pure,34,True
perfect,34,True
glass,34,True
knew,34,False
follow,34,True
flowers,34,False
empty,34,True
physical,34,True
star,34,True
energy,34,True
reaction,34,True
wet,34,True
accept,34,True
accident,34,True
Please,34,False
opinion,32,True
passed,32,False
traffic,32,True
standing,32,True
move,32,True
father,32,True
style,32,True
mountain,32,True
ill,32,True
amount,32,True
lines,32,False
positive,32,True
talk,32,True
strange,32,True
policy,32,True
girl,32,True
clothes,32,True
race,32,True
note,32,True
practice,32,True
involved,32,True
cup,32,True
soup,32,True
members,32,False
powerful,32,True
hall,32,True
rule,32,True
please,32,True
brought,32,False
completely,32,True
meaning,32,True
taste,32,True
force,32,True
reason,32,True
interesting,32,True
pain,32,True
sharp,32,True
shock,32,True
someone,32,True
pick,32,True
picture,32,True
popular,32,True
avoid,32,True
professional,32,True
objects,32,False
alive,32,True
plays,32,False
towards,32,True
afraid,32,True
square,30,True
something,30,True
grain,30,True
series,30,True
poem,30,True
buy,30,True
cost,30,True
missed,30,False
later,30,True
charged,30,False
security,30,True
makes,30,False
least,30,True
knowledge,30,True
gas,30,True
joke,30,True
rights,30,False
nature,30,True
ride,30,True
approach,30,True
department,30,True
killed,30,False
busy,30,True
green,30,True
trip,30,True
President,30,False
model,30,True
defense,30,True
facts,30,False
moderate,30,True
color,30,True
wedding,30,True
bear,30,True
private,30,True
recognition,30,True
quiet,30,True
sign,30,True
beer,30,True
highly,30,True
pulled,30,False
holds,30,False
illness,30,True
smile,30,True
others,30,True
filled,30,False
strong,30,True
effect,30,True
post,30,True
recent,30,True
failure,30,True
writing,30,True
familiar,30,True
duty,30,True
happy,30,True
dropped,30,False
computers,30,False
seat,30,True
stone,30,True
final,30,True
date,30,True
done,30,False
ideas,30,False
typical,30,True
famous,30,True
then,30,True
roof,30,True
given,30,True
pressure,30,True
park,30,True
nose,30,True
board,28,True
above,28,True
became,28,False
tell,28,True
relief,28,True
troops,28,False
weak,28,True
simple,28,True
easily,28,True
steady,28,True
community,28,True
York,28,False
walls,28,False
quality,28,True
